rule,type,nlc,dc,sql,link
"Encerrado o período de inscrição, o estudante será classificado na ordem decrescente das notas na opção de vaga para a qual se inscreveu, observado o limite de vagas disponíveis na instituição, por local de oferta, curso e turno bem como a modalidade de concorrência.",P,"Cheque se, após encerrado o período de inscrição, o estudante foi classificado na ordem decrescente das notas na opção de vaga para a qual se inscreveu, respeitando o limite de vagas disponíveis.","[""s1.cpf != s2.cpf"", ""s1.nota_candidato > s2.nota_candidato"", ""s1.classificacao > s2.classificacao"", ""s1.codigo_ies = s2.codigo_ies"", ""s1.codigo_campus = s2.codigo_campus"", ""s1.codigo_curso = s2.codigo_curso"", ""s1.turno = s2.turno"", ""s1.edicao = s2.edicao"", ""s1.mod_concorrencia = s2.mod_concorrencia""]",SELECT * FROM SISU S1 JOIN SISU S2 ON  s1.codigo_ies = s2.codigo_ies AND s1.codigo_campus = s2.codigo_campus AND s1.codigo_curso = s2.codigo_curso AND s1.turno = s2.turno AND s1.edicao = s2.edicao AND s1.mod_concorrencia = s2.mod_concorrencia WHERE s1.cpf != s2.cpf AND s1.nota_candidato > s2.nota_candidato AND s1.classificacao > s2.classificacao ,TRUE
"A nota final do estudante poderá variar de acordo com a ponderação dos pesos eventualmente estabelecidos pela instituição para cada uma das provas do Enem, na forma prevista no inciso IV do art. 5º desta Portaria.",P,Verifique se a nota final do estudante variou de acordo com a ponderação dos pesos eventualmente estabelecidos pela instituição para cada prova do Enem.,,,FALSE
"A nota final do estudante poderá variar de acordo com os bônus eventualmente estabelecidos pelas instituições em suas políticas de ações afirmativas, na forma prevista no inciso III do art. 5º desta Portaria.",P,Cheque se a nota final do estudante variou de acordo com os bônus eventualmente estabelecidos pelas instituições em suas políticas de ações afirmativas.,,,FALSE
"Os estudantes que optarem por concorrer às vagas reservadas em decorrência do disposto na Lei nº 12.711, de 2012, e regulamentação em vigor, serão classificados dentro de cada um dos seguintes grupos e subgrupos de inscritos.",P,Verifique se os estudantes que optaram por concorrer às vagas reservadas pela Lei nº 12.711/2012 foram classificados dentro de seus grupos e subgrupos de inscritos corretos.,,,FALSE
"Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Cheque se estudantes egressos de escola pública, com renda familiar de até 1,5 salário-mínimo, autodeclarados pretos, pardos ou indígenas, e com deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Verifique se estudantes egressos de escola pública, com renda familiar de até 1,5 salário-mínimo, autodeclarados pretos, pardos ou indígenas, e sem deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que não se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Cheque se estudantes egressos de escola pública, com renda familiar de até 1,5 salário-mínimo, não autodeclarados pretos, pardos ou indígenas, e com deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que não se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Verifique se estudantes egressos de escola pública, com renda familiar de até 1,5 salário-mínimo, não autodeclarados pretos, pardos ou indígenas, e sem deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escolas públicas, independentemente de renda, que se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Cheque se estudantes egressos de escolas públicas, independentemente de renda, autodeclarados pretos, pardos ou indígenas, e com deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escolas públicas, independentemente de renda, que se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Verifique se estudantes egressos de escolas públicas, independentemente de renda, autodeclarados pretos, pardos ou indígenas, e sem deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escolas públicas, independentemente de renda, que não se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Cheque se estudantes egressos de escolas públicas, independentemente de renda, não autodeclarados pretos, pardos ou indígenas, e com deficiência, foram classificados em grupo específico.",,,FALSE
"Estudantes egressos de escolas públicas, independentemente de renda, que não se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico.",P,"Verifique se estudantes egressos de escolas públicas, independentemente de renda, não autodeclarados pretos, pardos ou indígenas, e sem deficiência, foram classificados em grupo específico.",,,FALSE
"A cada chamada regular do SiSU, serão selecionados os estudantes classificados, consoante o disposto nos arts. 19 e 20 desta Portaria, observando-se a ordem de preferência das opções efetuadas.",P,"Cheque se, a cada chamada regular, os estudantes classificados foram selecionados observando-se a ordem de preferência das opções efetuadas.",,,FALSE
O estudante será selecionado em apenas uma de suas opções.,P,Verifique se o estudante foi selecionado em apenas uma de suas opções de curso.,"[""s1.cpf = s2.cpf"", ""s1.edicao = s2.edicao"", ""s1.opcao != s2.opcao"", ""s1.aprovado = 'S'"", ""s2.aprovado = 'S'""]",SELECT * FROM SISU S1 JOIN SISU S2 ON s1.cpf = s2.cpf AND s1.edicao = s2.edicao where s1.opcao != s2.opcao AND s1.aprovado = 'S' AND s2.aprovado = 'S',TRUE
"O estudante será selecionado exclusivamente em sua 1ª opção, caso tenha obtido nota suficiente para classificação nessa opção.",P,"Cheque se o estudante foi selecionado exclusivamente em sua 1ª opção, caso tenha obtido nota suficiente para essa classificação.","[""s1.opcao = 1"", ""s1.aprovado = 'N'"", ""s1.nota_candidato >= s1.nota_corte""]",SELECT * FROM SISU S1 WHERE s1.opcao = 1 and s1.aprovado = 'N' and s1.nota_candidato >= s1.nota_corte,TRUE
"O estudante será selecionado em sua 2ª opção, caso possua nota suficiente para tal, desde que não tenha sido selecionado em sua 1ª opção.",P,"Verifique se o estudante foi selecionado em sua 2ª opção, caso possuísse nota suficiente, mas desde que não tenha sido selecionado em sua 1ª opção.","[""s1.cpf = s2.cpf"", ""s1.edicao = s2.edicao"", ""s1.opcao = 2"", ""s1.aprovado = 'N'"", ""s1.nota_candidato >= s1.nota_corte"", ""s2.opcao = 1"", ""s2.aprovado = 'N'""]",SELECT * FROM SISU S1 JOIN SISU S2 ON s1.cpf = s2.cpf AND s1.edicao = s2.edicao WHERE s1.opcao = 2 AND s1.aprovado = 'N' AND s1.nota_candidato >= s1.nota_corte AND s2.opcao = 1 AND s2.aprovado = 'N',TRUE
O estudante poderá consultar o resultado das chamadas no sítio eletrônico do SiSU na internet e nas instituições para as quais efetuou sua inscrição.,D,Cheque se o resultado das chamadas pôde ser consultado pelo estudante no sítio eletrônico do SiSU e nas instituições correspondentes.,,,FALSE
"A seleção do estudante assegura apenas a expectativa de direito à vaga para a qual se inscreveu, estando sua matrícula condicionada à comprovação de atendimento dos requisitos legais e regulamentares pertinentes, em especial aqueles previstos na Lei nº 12.711, de 2012, e regulamentação em vigor.",O,"Verifique se a matrícula do estudante selecionado está sendo condicionada à comprovação de atendimento dos requisitos legais e regulamentares pertinentes, tratando a seleção apenas como uma expectativa de direito à vaga.",,,FALSE
