rule,type,nlc,dc,sql,link
"Cited violations should be corrected as soon as possible, and the establishment should take steps to prevent them from recurring.",D,"Check if cited violations are corrected as soon as possible, and that the establishment has taken steps to prevent them from recurring.",,,FALSE
"Issue a printed Inspection Report that states what the inspector observed, the violation points and the inspection score.",P,"Verify that a printed Inspection Report is issued stating what the inspector observed, the violation points, and the inspection score.",,,FALSE
Issue a Notice of Violation if the score was 14 or more points in general violations.,P,Verify that a Notice of Violation was issued if the score was 14 or more points in general violations.,,,FALSE
The inspector may issue a Notice of Violation if a critical violation or an unscored violation was cited. ,D,Check if a Notice of Violation was issued when a critical violation or an unscored violation was cited.,,,FALSE
All Notices of Violation are signed by the inspector and the food service operator.,O,Verify that each Notice of Violation has been signed by the inspector and the food service operator.,,,FALSE
Provide the date when the Notice of Violation will be heard by a hearing examiner at the Health Hearings Division of the Office of Trials and Hearings (OATH).,P,Verify that the date when the Notice of Violation will be heard by a hearing examiner at the Health Hearings Division of the Office of Trials and Hearings (OATH) is provided.,,,FALSE
"The back of the Notice of Violation includes contact information for OATH, a description of the hearing process and information about settlement and hearing by mail. ",O,"Verify that the back of the Notice of Violation includes contact information for OATH, a description of the hearing process, and information about settlement and hearing by mail.",,,FALSE
"Fines are determined at OATH. They range from 200 to 2,000 per violation and may be higher for repeated violations.",O,"Verify that fines determined at OATH range from $200 to $2,000 per violation and may be higher for repeated violations.",,,FALSE
Use the Self-Inspection Worksheet and Guide to Conditions in this booklet to conduct regular self-inspections.,P,Verify that regular self-inspections are conducted using the Self-Inspection Worksheet and Guide to Conditions in this booklet.,,,FALSE
The Health Department may order a restaurant to temporarily close to correct a public health hazard that cannot be corrected before the end of an inspection or when the restaurant is operating without a valid permit.,D,Verify that a restaurant is ordered to temporarily close if a public health hazard could not be corrected before the end of an inspection or if the restaurant was operating without a valid permit.,,,FALSE
A restaurant may also be closed if it scores 28 or more points on three consecutive inspections. ,D,Verify that a restaurant was closed if it scored 28 or more points on three consecutive inspections.,"[""r1.consecutive_high_scores >= 3"", ""r1.action NOT LIKE '%Closed by DOHMH%'""]",SELECT * FROM restaurant_inspection r1 WHERE r1.consecutive_high_scores >= 3 AND r1.action NOT LIKE '%Closed by DOHMH%',TRUE
"Prior to closure, an inspector will contact a supervisor, who will determine whether to order the establishment closed.",P,"Verify that, prior to closure, an inspector contacted a supervisor, who determined whether to order the establishment closed.",,,FALSE
"If it is closed, Health Department closure signs must be immediately posted in the window(s) and/or door(s), all operations must cease and the restaurant must remain closed for business until it is authorized by the Health Department to reopen. ",D,"Check if the establishment, if closed by the Health Department, has immediately posted closure signs in the window(s) and/or door(s), ceased all operations, and is remaining closed for business until the Health Department authorizes its reopening.",,,FALSE
The Department will monitor the establishment to ensure it remains closed and will issue additional violations for not complying with the closing order.,D,Verify that the establishment remains closed and that additional violations are issued if it does not comply with the closing order.,,,FALSE
"To reopen, the establishment must submit a written statement to the Health Department indicating that it has corrected all the violations that led to its being closed.",P,"Verify that, to reopen, the establishment has submitted a written statement to the Health Department indicating that it has corrected all the violations that led to its being closed.",,,FALSE
The operator may be asked to attend an informal meeting with Health Department supervisors.,D,Check if the operator may be asked to attend an informal meeting with Health Department supervisors.,,,FALSE
"If it appears that sanitary conditions have improved, an inspector will conduct a reopening inspection while the establishment remains closed to the public.",P,"Verify that, if it appears sanitary conditions have improved, an inspector conducts a reopening inspection while the establishment remains closed to the public.",,,FALSE
Health Department supervisors will determine whether it may reopen.,P,Check if Health Department supervisors determine whether it may reopen.,,,FALSE
"After re-opening, the establishment will be inspected for compliance with the Health Code. If it is in sufficient compliance, it may remain open and will be inspected again in about three months.",D,"Verify that after re-opening, the establishment was inspected for Health Code compliance, and if founded in sufficient compliance, it remained open and was inspected again in about three months.",,,FALSE
"Repeated violations may prompt the Health Department to initiate procedures for the revocation or suspension of the operator’s permit at a hearing before OATH. This may result in the establishment being closed for a longer period of time, or permanently.",D,"Verify  that the Health Department was prompted to initiate procedures for the revocation or suspension of an operator’s permit at a hearing before OATH due to repeated violations, which had result in the establishment being closed for a longer period of time, or permanently.",,,FALSE
Consumers may check an establishment’s inspection history. ,D,Check if consumers can view an establishment's inspection history.,,,FALSE
"As of July 2010, certain types of food service establishments, including restaurants, coffee shops, bars, nightclubs and most cafeterias and fixed-site food stands, must post letter grades that correspond to their sanitary inspection scores.",D,"Verify that as of July 2010, certain types of food service establishments, including restaurants, coffee shops, bars, nightclubs, and most cafeterias and fixed-site food stands, are posting letter grades that correspond to their sanitary inspection scores.",,,FALSE
"A score of 0-13 results in a grade of A; 14-27 points, a B; and 28 or more points, a C.",O,"Verify that a score of 0-13 results in a grade of A, 14-27 points results in a B, and 28 or more points results in a C.","[""r1.score >= 0"", ""r1.score <= 13"", ""r1.grade != 'A'""] OR [
""r1.score >= 14"", ""r1.score <= 27"", ""r1.grade != 'B'""] OR [
""r1.score >= 28"", ""r1.grade != 'C'""]",SELECT * FROM restaurant_inspection r1 WHERE (1.score >= 0 AND r1.score <= 13 AND r1.grade != 'A') OR (r1.score >= 14 AND r1.score <= 27 AND r1.grade != 'B') OR (r1.score >= 28 AND r1.grade != 'C') ,TRUE
"Letter grades are not issued to mobile food vending units, temporary food service establishments, food service establishments operated by primary or secondary schools, hospital-operated cafeterias, correctional facilities, charitable organizations (including soup kitchens or other prepared food distribution programs) or food service establishments operated by not-for-profit membership organizations that serve food only to their members.",O,"Verify that letter grades are not issued to mobile food vending units, temporary food service establishments, food service establishments operated by primary or secondary schools, hospital-operated cafeterias, correctional facilities, charitable organizations (including soup kitchens or other prepared food distribution programs), or food service establishments operated by not-for-profit membership organizations that serve food only to their members.",,,FALSE
Restaurants with A grades are inspected less often than those with B or C grades,O,Check if restaurants with an A grade are inspected less often than those with B or C grades.,,,FALSE
Score 0 to 13 points = A; Score 14 to 27 points = B; Score 28 or more points = C,O,"Verify that a score of 0 to 13 points is A, 14 to 27 points is B, and 28 or more points is C.",,,FALSE
Only certain inspections result in a grade.,O,Verify that only certain inspections result in a grade.,,,FALSE
Every food service establishment is scheduled for at least one inspection per year. ,D,Verify that every food service establishment is scheduled for at least one inspection per year.,"[""r1.days_to_next_inspection > 365""]",SELECT * FROM restaurant_inspection r1 WHERE r1.days_to_next_inspection > 365,TRUE
A restaurant that scores 0 to 13 violation points on its first inspection will receive an A-grade card that must be posted immediately.,D,Check if a restaurant that scored 0 to 13 violation points on its first inspection received an A-grade card that was posted immediately.,"[""r1.inspection_type LIKE '%Initial Inspection%'"", ""r1.score >= 0"",
""r1.score <= 13"", ""r1.grade = 'A'"", ""r1.grade_date != r1.inspection_date""]",SELECT * FROM restaurant_inspection r1 WHERE r1.inspection_type LIKE '%Initial Inspection%' AND r1.score >= 0 AND r1.score <= 13 AND r1.grade = 'A' AND r1.grade_date != r1.inspection_date,TRUE
An establishment that does not score an A on its initial inspection will not have to post a grade until it has had the opportunity to improve its sanitary conditions and is re-inspected.,D,Verify that an establishment that does not score an A on its initial inspection is not required to post a grade until it has had the opportunity to improve its sanitary conditions and is re-inspected.,,,FALSE
"If an A is issued on re-inspection, the A-grade card must be posted immediately.",D,"Verify that if an A was issued on re-inspection, the A-grade card was posted immediately.","[""r1.inspection_type LIKE '%Re-inspection%'"", ""r1.grade = 'A'"", ""r1.grade_date != r1.inspection_date""]",SELECT * FROM restaurant_inspection r1 WHERE r1.inspection_type LIKE '%Re-inspection%' AND r1.grade = 'A' AND r1.grade_date != r1.inspection_date,TRUE
An establishment receiving a B or C grade on re-inspection receives two cards: one showing the letter grade and one that says “Grade Pending”; one of those cards must be posted immediately.,D,Verify that an establishment receiving a B or C grade on re-inspection posts one of two cards immediately: either the card showing the letter grade (B or C) or the card that says “Grade Pending”.,"[""r1.inspection_type LIKE '%Re-inspection%'"", ""r1.grade IN ('B', 'C')"", ""r1.grade_date != r1.inspection_date""]","SELECT * FROM restaurant_inspection r1 WHERE r1.inspection_type LIKE '%Re-inspection%' AND r1.grade IN ('B', 'C') AND r1.grade_date != r1.inspection_date",TRUE
The frequency of inspections depends on a restaurant’s score. ,O,Verify that the frequency of inspections depends on a restaurant's score.,,,FALSE
Restaurants with A grades are inspected less often than those with B or C grades.,O,Check if restaurants with A grades are inspected less frequently than those with B or C grades.,"[""r1.camis = r2.camis"", ""r1.grade = 'A'"", ""r2.grade IN ('B', 'C')"", ""r1.days_to_next_inspection < r2.days_to_next_inspection""]","SELECT r1.*, r2.* FROM restaurant_inspection r1, restaurant_inspection r2 WHERE r1.tid < r2.tid AND r1.camis = r2.camis AND r1.grade = 'A' AND r2.grade IN ('B', 'C') AND r1.days_to_next_inspection < r2.days_to_next_inspection",TRUE
"The letter grade or “Grade Pending” card must be posted in a place where it is easily seen by people passing by. It must be on the front window, door or an outside-facing wall. ",D,"Verify that the letter grade or ""Grade Pending"" card is posted in a location that is easily seen by people passing by, specifically on the front window, door, or an outside-facing wall.",,,FALSE
"The card must be within 5 feet from the front door or other entrance, and within 6 feet from the ground or floor.",D,Verify that the card is within 5 feet from the front door or other entrance and within 6 feet from the ground or floor.,,,FALSE
Follow the steps below to practice A-grade food safety and keep your customers safe from food-borne illness.,P,Verify that the steps below are followed to practice A-grade food safety and keep customers safe from food-borne illness.,,,FALSE
Be sure employees are trained in basic food safety and supervised by someone who has a food protection certificate.,D,Check if employees are trained in basic food safety and are supervised by someone who has a food protection certificate.,,,FALSE
"Arrange work schedules so that a supervisor with a food protection certificate is on duty whenever your restaurant is receiving or preparing food, or is open to the public.",D,"Verify that a supervisor with a food protection certificate is on duty whenever the restaurant is receiving or preparing food, or is open to the public.",,,FALSE
Train supervisors to use the Self-Inspection Worksheet to regularly evaluate and improve the restaurant's condition and employees' food safety practices.,P,Verify that supervisors are trained to use the Self-Inspection Worksheet to regularly evaluate and improve the restaurant's condition and employees' food safety practices.,,,FALSE
Provide food safety training for all employees who handle food.,D,Verify that all employees who handle food receive food safety training.,,,FALSE
Hold food at the proper temperature.,D,Verify that the food is being held at the proper temperature.,,,FALSE
Review Health Department rules for temperature-holding requirements.,P,Verify that Health Department rules for temperature-holding requirements are followed.,,,FALSE
Be sure equipment used to hold hot and cold food is working properly.,D,Verify that the equipment used to hold hot and cold food is working properly.,,,FALSE
Use thermometers to monitor the temperature of foods in hot or cold storage.,D,Verify that thermometers are being used to monitor the temperature of foods in hot or cold storage.,,,FALSE
"Track food taken from hot or cold storage, and record how long it is out.",P,Verify that food taken from hot or cold storage is tracked and how long it is out is recorded.,,,FALSE
Control conditions that promote pests.,D,Verify that the conditions promoting pests are controlled.,,,FALSE
"Seal all cracks, crevices and holes in walls, cabiners and doors to prevent rodents, cockroaches and flies from entering.",P,"Verify that all cracks, crevices, and holes in walls, cabinets, and doors are sealed to prevent rodents, cockroaches, and flies from entering.",,,FALSE
Install rodent-proof door sweeps on outside doors.,D,Check if rodent-proof door sweeps have been installed on all outside doors.,,,FALSE
Store food and garbage in pest-proof containers.,D,Verify that food and garbage are stored in pest-proof containers.,,,FALSE
"Clean grease, oil and food particles from all surfaces and equipment, including the floor underneath.",D,"Verify that all surfaces and equipment, including the floor underneath, have been cleaned of grease, oil, and food particles.",,,FALSE
Keep range hoods clean and grease-free.,D,Verify that range hoods are kept clean and grease-free.,,,FALSE
Contract with a pest control professional licensed to work in restaurants.,D,Verify that the restaurant has a contract with a licensed pest control professional.,,,FALSE
"Protect food from contamination during storage, preparation, transportation and display.",D,"Verify that food is protected from contamination during storage, preparation, transportation, and display.",,,FALSE
Keep food covered until served.,D,Verify that food is kept covered until served.,,,FALSE
Keep food separated by temperature and type.,D,Verify that food is separated by temperature and type.,,,FALSE
Avoid cross-contamination by separating potentially hazardous foods (like raw poultry) from ready-to-eat items (like salad mix).,D,Verify that potentially hazardous foods (like raw poultry) are separated from ready-to-eat items (like salad mix) to avoid cross-contamination.,,,FALSE
Maintain all food surfaces.,D,Verify that all food surfaces are maintained.,,,FALSE
Clean and sanitize all food-preparation surfaces after each use; remove caked-on food.,D,"Verify that all food-preparation surfaces are cleaned and sanitized after each use, and that caked-on food has been removed.",,,FALSE
Repair or replace deeply-grooved cutting boards and chipped or broken surfaces so they can be properly sanitized.,D,Verify that deeply-grooved cutting boards and chipped or broken surfaces are repaired or replaced so they can be properly sanitized.,,,FALSE
Maintain all non-food surfaces.,D,Verify that all non-food surfaces are maintained.,,,FALSE
Review Health Department rules on acceptable materials; surfaces should be smooth and cleanable.,D,"Verify that all materials and surfaces are smooth and cleanable, as per Health Department rules.",,,FALSE
Keep all surfaces clean.,D,Verify that all surfaces are kept clean.,,,FALSE
Maintain all plumbing and check it frequently.,D,Verify that all plumbing is being maintained and checked frequently.,,,FALSE
Monitor all plumbing fixtures and make needed repairs immediately.,D,Verify that all plumbing fixtures are being monitored and that any needed repairs are being made immediately.,,,FALSE
"Be sure plumbing is fitted with approved devices (valves, anti-siphonage pieces, vacuum breakers) to prevent backflow.",D,"Verify that the plumbing is fitted with approved devices (valves, anti-siphonage pieces, vacuum breakers) to prevent backflow.",,,FALSE
Clean and maintain grease traps.,D,Verify that grease traps are cleaned and maintained.,,,FALSE
