rule,type,nlc,dc,sql,link
Procurements by negotiated acquisition shall require the written approval of the CCPO prior to initiating negotiations,,Verify that all procurements by negotiated acquisition have the written approval of the CCPO before negotiations are initiated.,"[""SelectionMethodDescription = 'Negotiated Acquisition'"", ""AdditionalDescription1 not LIKE '%CCPO%'""], [""SelectionMethodDescription = 'Negotiated Acquisition'"", ""upper(OtherInfo1) not LIKE '%CCPO%'""]",SELECT * FROM contract_award WHERE SelectionMethodDescription = 'Negotiated Acquisition' AND (AdditionalDescription1 not LIKE '%CCPO%' or OtherInfo1 not LIKE '%CCPO%'),TRUE
This section shall apply to all procurements made by competitive sealed bidding,,Verify that this section applies to all procurements made by competitive sealed bidding.,,,FALSE
The IFB is used to initiate a competitive sealed bid procurement,,Verify that the IFB is used to initiate a competitive sealed bid procurement.,,,FALSE
"The Invitation for Bids shall include the following: (i) instructions and information to bidders concerning the bid submission requirements, including the time and date set for receipt of the bids; requirements for the electronic submission of bids, if any; time, date, and location of any pre-bid conferences (and a statement whether such conferences are mandatory); and the location where bids are to be submitted; (ii) the purchase description, delivery and performance schedule, and any special instructions necessary; (iii) the contract terms and conditions, including warranty and bonding or other security requirements, as applicable",,"Verify that the Invitation for Bids includes: (i) instructions and information to bidders concerning the bid submission requirements, including the time and date set for receipt of the bids, requirements for the electronic submission of bids if any, time, date, and location of any pre-bid conferences with a statement on whether such conferences are mandatory, and the location where bids are to be submitted; (ii) the purchase description, delivery and performance schedule, and any special instructions necessary; (iii) the contract terms and conditions, including warranty and bonding or other security requirements, as applicable.",,,FALSE
"for construction, a statement that award shall be made to the lowest responsive and responsible bidder",,"Verify that for construction, the award is made to the lowest responsive and responsible bidder.",,,FALSE
"for purchase of goods and standard services, a statement that award shall be made to the lowest responsive and responsible bidder or to the bidder whose bid represents the best value to the City by optimizing quality, cost and efficiency",,"Verify that for the purchase of goods and standard services, the award is made to the lowest responsive and responsible bidder or to the bidder whose bid represents the best value to the City by optimizing quality, cost, and efficiency.",,,FALSE
"if not included in the bid documents, a notice of where vendors may obtain a copy of all contractual terms and conditions or other project-related material",,"Verify that if a notice is not included in the bid documents, there is a notice of where vendors may obtain a copy of all contractual terms and conditions or other project-related material.",,,FALSE
"a provision that bidders should give specific attention to the identification of those portions of their bids that they deem to be confidential proprietary information or trade secrets and provide any justification why such materials, upon request, should not be disclosed by the City",,Verify that bidders have identified portions of their bids as confidential proprietary information or trade secrets and have provided justification for why such materials should not be disclosed by the City upon request.,,,FALSE
bids may be withdrawn only after the expiration of fortyfive days from bid opening and only in writing received by the agency and in advance of award,,"Verify that bids are withdrawn only after the expiration of forty-five days from bid opening, only in writing received by the agency, and only in advance of award.",,,FALSE
contract award is subject to provisions of the MacBride Principles Law,,Verify that the contract award complies with the provisions of the MacBride Principles Law.,,,FALSE
"contract award is subject, if applicable, to Section 6-129 of the New York City Administrative Code (M/WBE and EBE program), as well as to applicable provisions of federal, State, and local laws and executive orders requiring affirmative action and equal employment opportunity",,"Verify that the contract award complies with Section 6-129 of the New York City Administrative Code (M/WBE and EBE program) if applicable, and adheres to the applicable provisions of federal, State, and local laws and executive orders requiring affirmative action and equal employment opportunity.",,,FALSE
"where applicable, a notice that contract award is subject to completion of a VENDEX questionnaire and review of that information by the Department of Investigation",,"Verify that, where applicable, a notice is present indicating that the contract award is subject to the completion of a VENDEX questionnaire and the review of that information by the Department of Investigation.",,,FALSE
"the name, address, and telephone number of a contact person to whom questions and correspondence relating to the bid solicitation can be addressed",,"Verify that the name, address, and telephone number of a contact person to whom questions and correspondence relating to the bid solicitation can be addressed are present.",,,FALSE
The New York City Comptroller is charged with the audit of contracts in New York City,,Verify that the New York City Comptroller audits all contracts in New York City.,,,FALSE
"Any vendor who believes that there has been unfairness, favoritism, or impropriety in the bid process should inform the Comptroller, Bureau of Contract Administration, 1 Centre Street, Room 727, New York, NY 10007, (212) 669- 2323",,"Verify that any vendor who believes there has been unfairness, favoritism, or impropriety in the bid process has informed the Comptroller, Bureau of Contract Administration, at 1 Centre Street, Room 727, New York, NY 10007, (212) 669-2323.",,,FALSE
"the bidder will be required to comply, if applicable, with § 220/230 of the New York State Labor Law, § 6-109 of the New York Administrative Code, Mayoral Executive Order 102 of 2006, and with all other federal, State, and local labor laws and regulations, including but not limited to providing on-the-job training opportunities and payment of prevailing wages and living wages",,"Verify that the bidder complies, if applicable, with § 220/230 of the New York State Labor Law, § 6-109 of the New York Administrative Code, Mayoral Executive Order 102 of 2006, and all other federal, State, and local labor laws and regulations, including providing on-the-job training opportunities and payment of prevailing wages and living wages.",,,FALSE
"where applicable for construction contracts, the following shall be additionally included: (A) a specific description and exact location of the construction and the date and time for the bidder to visit the job site when the solicitation requires a mandatory pre-bid visit to and examination of the job site; (B) a reference to all applicable documents which will subsequently become a part of the contract, such as the specifications and the terms and conditions approved by Corporation Counsel; (C) a statement establishing minimum insurance requirements which the City will require of the bidder if successful and conveying to the bidder any insurance coverage which the City will carry that will afford the contractor insurance coverage; (D) a statement that the bidder will be required to meet all licensing or permit requirements required to perform the construction; (E) a statement of instructions relative to the return of bid documents if the bidder elects not to submit a bid thereunder and notification to the City of the bidder declining to bid; (F) a statement that all bid documents must be returned to the City upon request; (G) the form in which the bid is to be submitted (either specified in the invitation for bids or referenced as part of the specifications or attached forms); (H) a requirement that for projects on which more than one prime contractor will be involved, all bidders examine the invitation for bid packages for all other parts of the project; and (I) a notice, for those contracts not otherwise subject to Section 6- 129 of the New York Administrative Code (M/WBE and EBE Program), that contract award is subject to the provisions of Section 6-108.1 of the New York City Administrative Code relating to the LBE program and its implementing rules; and (J) a requirement that, where the preparation of separate specifications is not required for plumbing and gas fitting; steam heating, hot water heating, ventilating and air conditioning apparatus; and electric wiring and standard illumination fixtures pursuant to New York General Municipal Law Section 101, the bidder shall submit with its bid a separate sealed list that names each subcontractor that the bidder will use to perform such work on the contract, and the agreed-upon amount to be paid to each",,"Verify that for applicable construction contracts, the following are included: (A) a specific description and exact location of the construction, and the date and time for the bidder to visit the job site when a mandatory pre-bid visit is required; (B) references to all applicable documents that will become part of the contract, such as specifications and terms and conditions approved by Corporation Counsel; (C) a statement of minimum insurance requirements for the bidder and any insurance coverage provided by the City; (D) a statement that the bidder must meet all licensing or permit requirements for the construction; (E) instructions for the return of bid documents if the bidder does not submit a bid, and notification to the City of the bidder's decision not to bid; (F) a statement that all bid documents must be returned to the City upon request; (G) the form in which the bid is to be submitted, as specified or referenced in the invitation for bids; (H) a requirement for all bidders to examine bid packages for all parts of the project when multiple prime contractors are involved; (I) a notice that contract award is subject to Section 6-108.1 of the New York City Administrative Code for contracts not subject to Section 6-129; and (J) a requirement for a separate sealed list of subcontractors and payment amounts for work not requiring separate specifications under New York General Municipal Law Section 101.",,,FALSE
"If award will be made on the basis of best value to the City, such statement shall include how best value will be determined in accordance with Section 3-02(o) of these Rules",,Verify that any award made on the basis of best value to the City includes a statement detailing how best value is determined in accordance with Section 3-02(o) of these Rules.,,,FALSE
The bidding time shall be not less than fifteen days before the bid opening date,,Verify that the bidding time is at least fifteen days before the bid opening date.,,,FALSE
"The IFB will provide a form on which the bidder must insert the bid price, or other information requested, if any, pursuant to Section 3-02(o)(1) of these Rules, and must sign and submit along with all other necessary submissions",,"Verify that the bidder has inserted the bid price or other requested information on the provided form, signed it, and submitted it along with all other necessary submissions.",,,FALSE
Bids must be typewritten or written legibly in ink,,Verify that all bids are either typewritten or written legibly in ink.,,,FALSE
Erasures or alterations shall be initialed by the signer in ink or by electronic signature,,Verify that all erasures or alterations are initialed by the signer either in ink or by electronic signature.,,,FALSE
All bids must be signed in ink or by electronic signature,,Verify that all bids are signed in ink or by electronic signature.,,,FALSE
"The bid invitation also will also require that the bid be submitted in a sealed envelope, addressed as required in the bid documents",,Verify that each bid is submitted in a sealed envelope and is addressed as required in the bid documents.,,,FALSE
"Where award will be made to the bidder whose bid represents the best value to the City, the IFB may also provide that other information requested, if any, may be submitted up to thirty (30) days from the bid opening by all bidders whose bids are to be considered pursuant to Section 3-02(o)(1)(iii) of these Rules.",,Verify that all bidders whose bids are to be considered pursuant to Section 3-02(o)(1)(iii) have submitted any requested additional information within thirty (30) days from the bid opening.,,,FALSE
"The IFB shall state that the submission of bid samples and descriptive literature, regardless of any attempt by a bidder to condition the bid, will not be deemed to vary any of the provisions of the IFB",,"Verify that the IFB states that the submission of bid samples and descriptive literature, regardless of any attempt by a bidder to condition the bid, is not deemed to vary any of the provisions of the IFB.",,,FALSE
"IFBs or notices of their availability must be electronically mailed to a sufficient number of vendors, including all vendors on the appropriate citywide bidders list established by the CCPO for the purpose of securing competition",,"Verify that IFBs or notices of their availability are electronically mailed to a sufficient number of vendors, including all vendors on the appropriate citywide bidders list established by the CCPO for the purpose of securing competition.",,,FALSE
"IFBs or notices of their availability may be sent electronically to vendors on agency-specific bidders lists, in addition to the appropriate citywide bidders list maintained by the CCPO, only with approval of the CCPO.",,"Verify that IFBs or notices of their availability are sent electronically to vendors on agency-specific bidders lists, in addition to the citywide bidders list maintained by the CCPO, only with the approval of the CCPO.",,,FALSE
"Such IFBs or notices must be sent electronically at least fifteen (15) days in advance of the due date for bids, or at least twenty-two (22) days in advance of the due date for bids which are subject to Section 6-129 of the New York City Administrative Code (M/WBE and EBE program)",,"Verify that all IFBs or notices are sent electronically at least fifteen (15) days before the due date for bids, or at least twenty-two (22) days before the due date for bids subject to Section 6-129 of the New York City Administrative Code (M/WBE and EBE program).",,,FALSE
"An agency may, upon request of a vendor, provide IFBs or notices by mail, fax, hand delivery, or otherwise",,"Verify that, upon request of a vendor, an agency provides IFBs or notices by mail, fax, hand delivery, or other means.",,,FALSE
"Where the notice does not include all IFB documents, an additional five (5) days must be allowed",,Verify that an additional five (5) days are allowed when the notice does not include all IFB documents.,,,FALSE
"Notices of availability must indicate, at minimum: (A) the name of the agency and, if appropriate, the specific division or bureau soliciting the bids; (B) title and brief description of the goods, services, or construction required; (C) specific information about how, when, and where the IFB is available; (D) the required fee or deposit amount, if any, for obtaining the IFB; (E) the time, date, and location of any pre-bid conference or site visit, if any, and if attendance is mandatory; (F) the date, time, and location and, if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website, for the receipt and opening of bids; (G) the name and phone number of the agency contact person, including email address, if applicable; and (H) the citywide bidders list used",,"Verify that notices of availability include at minimum: the name of the agency and, if appropriate, the specific division or bureau soliciting the bids; the title and brief description of the goods, services, or construction required; specific information about how, when, and where the IFB is available; the required fee or deposit amount, if any, for obtaining the IFB; the time, date, and location of any pre-bid conference or site visit, if any, and if attendance is mandatory; the date, time, and location and, if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website, for the receipt and opening of bids; the name and phone number of the agency contact person, including email address, if applicable; and the citywide bidders list used.","[""AgencyName IS NULL""], [""SectionName IS NULL""], [""ShortTitle IS NULL""], [""AdditionalDescription1 IS NULL""], [""AddressToRequest IS NULL""], [""ContractAmount IS NULL""], [""EventDate IS  NULL""], [""EventStreetAddress1 IS NULL""], [""DocumentLinks IS NULL""], [""ContactName IS NULL""], [""ContactPhone IS  NULL""], [""Email IS NULL""]",SELECT * FROM contract_award WHERE AgencyName IS NULL OR SectionName IS NULL OR ShortTitle IS NULL OR AdditionalDescription1 IS NULL OR AddressToRequest IS NULL OR ContractAmount IS NULL OR EventDate IS  NULL OR EventStreetAddress1 IS NULL OR DocumentLinks IS NULL OR ContactName IS NULL OR ContactPhone IS  NULL OR Email IS NULL,TRUE
"Notice of solicitation shall be published at lease once in the City Record and shall be posted on the City’s website in a location that is accessible by the public simultaneously with its publication not less than fifteen days before the bid opening date with the exception of accelerated procurements, which shall appear not less than three business days before the bid opening date",,"Verify that the notice of solicitation is published at least once in the City Record and is posted on the City’s website in a publicly accessible location simultaneously with its publication not less than fifteen days before the bid opening date, except for accelerated procurements, which must appear not less than three business days before the bid opening date.",,,FALSE
"Such notice shall include: ((a)) agency name; ((b)) PIN; ((c)) title and/or brief description of the goods, services, or construction to be procured; ((d)) estimated quantity, if any; ((e)) how the solicitation documents may be obtained; ((f)) date and time by which, and the location where, bids must be submitted and will be publicly opened and if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website; and ((g)) required vendor qualifications or eligibility requirements, if any and ((h)) A statement, if applicable, that the solicitation is subject to Section 6-129 of the Administrative Code (M/WBE and EBE program)",,"Verify that each notice includes the following: (a) agency name, (b) PIN, (c) title and/or brief description of the goods, services, or construction to be procured, (d) estimated quantity, if any, (e) how the solicitation documents may be obtained, (f) date and time by which, and the location where, bids must be submitted and will be publicly opened, and if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website, (g) required vendor qualifications or eligibility requirements, if any, and (h) a statement, if applicable, that the solicitation is subject to Section 6-129 of the Administrative Code (M/WBE and EBE program).","[""AgencyName IS NULL""], [""PIN IS NULL""], [""ShortTitle IS NULL""], [""AddressToRequest IS NULL""], [""DueDate IS NULL""], [""EventStreetAddress1 IS NULL""], [""DocumentLinks IS NULL""], [""SelectionMethodDescription IS NULL""]",SELECT * FROM contract_award WHERE AgencyName IS NULL OR PIN IS NULL OR ShortTitle IS NULL OR AddressToRequest IS NULL OR DueDate IS NULL OR EventStreetAddress1 IS NULL OR DocumentLinks IS NULL OR SelectionMethodDescription IS NULL,TRUE
Notice of vendor selection exceeding the small purchase limits shall be published once in the City Record within fifteen days after registration of the contract,,Verify that notice of vendor selection exceeding the small purchase limits is published once in the City Record within fifteen days after registration of the contract.,,,FALSE
"Such notice shall include: (A) agency name; (B) PIN; (C) title and/or brief description of the goods, services, or construction procured; (D) name and address of the vendor; (E) dollar value of the contract; and (F) procurement method by which the contract was let",,"Verify that each notice includes the agency name, PIN, title and/or brief description of the goods, services, or construction procured, name and address of the vendor, dollar value of the contract, and procurement method by which the contract was let.","[""AgencyName IS NULL""], [""PIN IS NULL""], [""ShortTitle IS NULL""], [""VendorName IS NULL""], [""VendorAddress IS NULL""], [""ContractAmount IS NULL""], [""SelectionMethodDescription IS NULL""]",SELECT * FROM contract_award WHERE AgencyName IS NULL OR PIN IS NULL OR ShortTitle IS NULL OR VendorName IS NULL OR VendorAddress IS NULL OR ContractAmount IS  NULL OR SelectionMethodDescription IS NULL,TRUE
A copy of the IFB shall be available for public inspection at a location in the agency offices designated by the ACCO,,Verify that a copy of the IFB is available for public inspection at a location in the agency offices designated by the ACCO.,,,FALSE
The CCPO shall compile citywide lists of vendors interested in being solicited for bids,,Verify that the CCPO compiles citywide lists of vendors interested in being solicited for bids.,,,FALSE
the CCPO may authorize one or more agencies to maintain citywide or agency bidders lists,,Check if the CCPO has authorized one or more agencies to maintain citywide or agency bidders lists.,,,FALSE
"Bidders lists shall be classified by standard categories of goods, services, and construction that are sufficiently detailed to provide meaningful distinctions among categories",,"Verify that bidders lists are classified by standard categories of goods, services, and construction that are sufficiently detailed to provide meaningful distinctions among categories.",,,FALSE
"Bidders lists shall include the names, addresses, EIN, e-mail addresses, and telephone numbers of the vendors",,"Verify that bidders lists include the names, addresses, EIN, e-mail addresses, and telephone numbers of the vendors.","[""VendorName IS NULL""], [""VendorAddress IS NULL""], [""Email IS NULL""], [""ContactPhone IS NULL""]",SELECT * FROM contract_award WHERE VendorName IS NULL OR VendorAddress IS  NULL OR Email IS NULL OR ContactPhone IS NULL,TRUE
"bidders lists shall indicate which of the listed businesses have been certified by DSBS as minority owned, women owned and emerging business enterprises",,"Verify that bidders lists indicate which of the listed businesses have been certified by DSBS as minority owned, women owned, and emerging business enterprises.",,,FALSE
"The CCPO and agencies, if authorized by the CCPO to maintain bidders lists, shall cause to be continuously published in the City Record notice of the availability of applications for vendors to be added to citywide bidders lists or agency bidders lists for goods, services, and construction regularly procured by the City",,"Verify that the CCPO and authorized agencies continuously publish in the City Record notice of the availability of applications for vendors to be added to citywide or agency bidders lists for goods, services, and construction regularly procured by the City.",,,FALSE
"Every effort shall be made to publish notice in a manner that encourages minority, women and emerging business enterprises to certify with DSBS",,"Verify that notices are published in a manner that encourages minority, women, and emerging business enterprises to certify with DSBS.",,,FALSE
Application by vendors for placement on the citywide bidders lists or an agency’s bidders list shall be continuously available on request from the vendor,,Verify that applications by vendors for placement on the citywide bidders lists or an agency’s bidders list are continuously available upon request from the vendor.,,,FALSE
Vendors that fail to respond to solicitations or notices of availability of procurement opportunities on three consecutive invitations within one standard category may be removed by the CCPO from the applicable bidders list or by the ACCO from the applicable agency bidder list after notice to the vendor,,"Check if any vendors have failed to respond to solicitations or notices of availability of procurement opportunities on three consecutive invitations within one standard category, and if so, ensure they have been notified and considered for removal by the CCPO from the applicable bidders list or by the ACCO from the applicable agency bidder list.",,,FALSE
A “No Bid” statement on a returned bid shall be considered a response,,Verify that a 'No Bid' statement on a returned bid is considered a response.,,,FALSE
Vendors may also be removed from a citywide bidders list pursuant to procedures prescribed by the CCPO,,Check if vendors have been removed from a citywide bidders list according to the procedures prescribed by the CCPO.,,,FALSE
Application for reinstatement shall be the responsibility of the vendor,,Verify that the application for reinstatement is the responsibility of the vendor.,,,FALSE
"Unless otherwise provided, inclusion or exclusion of the name of a vendor on a bidders list does not indicate that the vendor is responsible in respect to a particular procurement or otherwise is capable of successfully performing a City contract",,"Verify that the inclusion or exclusion of a vendor's name on a bidders list does not indicate the vendor's responsibility for a particular procurement or capability to successfully perform a City contract, unless otherwise provided.",,,FALSE
