Regra | Status
Procurements by negotiated acquisition shall require the written approval of the CCPO prior to initiating negotiations | ENCONTRADA
This section shall apply to all procurements made by competitive sealed bidding | NÃO ENCONTRADA
The IFB is used to initiate a competitive sealed bid procurement | ENCONTRADA
The Invitation for Bids shall include the following: (i) instructions and information to bidders concerning the bid submission requirements, including the time and date set for receipt of the bids; requirements for the electronic submission of bids, if any; time, date, and location of any pre-bid conferences (and a statement whether such conferences are mandatory); and the location where bids are to be submitted; (ii) the purchase description, delivery and performance schedule, and any special instructions necessary; (iii) the contract terms and conditions, including warranty and bonding or other security requirements, as applicable | NÃO ENCONTRADA
for construction, a statement that award shall be made to the lowest responsive and responsible bidder | ENCONTRADA
for purchase of goods and standard services, a statement that award shall be made to the lowest responsive and responsible bidder or to the bidder whose bid represents the best value to the City by optimizing quality, cost and efficiency | NÃO ENCONTRADA
if not included in the bid documents, a notice of where vendors may obtain a copy of all contractual terms and conditions or other project-related material | NÃO ENCONTRADA
a provision that bidders should give specific attention to the identification of those portions of their bids that they deem to be confidential proprietary information or trade secrets and provide any justification why such materials, upon request, should not be disclosed by the City | NÃO ENCONTRADA
bids may be withdrawn only after the expiration of fortyfive days from bid opening and only in writing received by the agency and in advance of award | ENCONTRADA
contract award is subject to provisions of the MacBride Principles Law | ENCONTRADA
contract award is subject, if applicable, to Section 6-129 of the New York City Administrative Code (M/WBE and EBE program), as well as to applicable provisions of federal, State, and local laws and executive orders requiring affirmative action and equal employment opportunity | NÃO ENCONTRADA
where applicable, a notice that contract award is subject to completion of a VENDEX questionnaire and review of that information by the Department of Investigation | NÃO ENCONTRADA
the name, address, and telephone number of a contact person to whom questions and correspondence relating to the bid solicitation can be addressed | ENCONTRADA
The New York City Comptroller is charged with the audit of contracts in New York City | ENCONTRADA
Any vendor who believes that there has been unfairness, favoritism, or impropriety in the bid process should inform the Comptroller, Bureau of Contract Administration, 1 Centre Street, Room 727, New York, NY 10007, (212) 669- 2323 | ENCONTRADA
the bidder will be required to comply, if applicable, with § 220/230 of the New York State Labor Law, § 6-109 of the New York Administrative Code, Mayoral Executive Order 102 of 2006, and with all other federal, State, and local labor laws and regulations, including but not limited to providing on-the-job training opportunities and payment of prevailing wages and living wages | NÃO ENCONTRADA
where applicable for construction contracts, the following shall be additionally included: (A) a specific description and exact location of the construction and the date and time for the bidder to visit the job site when the solicitation requires a mandatory pre-bid visit to and examination of the job site; (B) a reference to all applicable documents which will subsequently become a part of the contract, such as the specifications and the terms and conditions approved by Corporation Counsel; (C) a statement establishing minimum insurance requirements which the City will require of the bidder if successful and conveying to the bidder any insurance coverage which the City will carry that will afford the contractor insurance coverage; (D) a statement that the bidder will be required to meet all licensing or permit requirements required to perform the construction; (E) a statement of instructions relative to the return of bid documents if the bidder elects not to submit a bid thereunder and notification to the City of the bidder declining to bid; (F) a statement that all bid documents must be returned to the City upon request; (G) the form in which the bid is to be submitted (either specified in the invitation for bids or referenced as part of the specifications or attached forms); (H) a requirement that for projects on which more than one prime contractor will be involved, all bidders examine the invitation for bid packages for all other parts of the project; and (I) a notice, for those contracts not otherwise subject to Section 6- 129 of the New York Administrative Code (M/WBE and EBE Program), that contract award is subject to the provisions of Section 6-108.1 of the New York City Administrative Code relating to the LBE program and its implementing rules; and (J) a requirement that, where the preparation of separate specifications is not required for plumbing and gas fitting; steam heating, hot water heating, ventilating and air conditioning apparatus; and electric wiring and standard illumination fixtures pursuant to New York General Municipal Law Section 101, the bidder shall submit with its bid a separate sealed list that names each subcontractor that the bidder will use to perform such work on the contract, and the agreed-upon amount to be paid to each | NÃO ENCONTRADA
If award will be made on the basis of best value to the City, such statement shall include how best value will be determined in accordance with Section 3-02(o) of these Rules | NÃO ENCONTRADA
The bidding time shall be not less than fifteen days before the bid opening date | ENCONTRADA
The IFB will provide a form on which the bidder must insert the bid price, or other information requested, if any, pursuant to Section 3-02(o)(1) of these Rules, and must sign and submit along with all other necessary submissions | ENCONTRADA
Bids must be typewritten or written legibly in ink | ENCONTRADA
Erasures or alterations shall be initialed by the signer in ink or by electronic signature | ENCONTRADA
All bids must be signed in ink or by electronic signature | ENCONTRADA
The bid invitation also will also require that the bid be submitted in a sealed envelope, addressed as required in the bid documents | ENCONTRADA
Where award will be made to the bidder whose bid represents the best value to the City, the IFB may also provide that other information requested, if any, may be submitted up to thirty (30) days from the bid opening by all bidders whose bids are to be considered pursuant to Section 3-02(o)(1)(iii) of these Rules. | ENCONTRADA
The IFB shall state that the submission of bid samples and descriptive literature, regardless of any attempt by a bidder to condition the bid, will not be deemed to vary any of the provisions of the IFB | ENCONTRADA
IFBs or notices of their availability must be electronically mailed to a sufficient number of vendors, including all vendors on the appropriate citywide bidders list established by the CCPO for the purpose of securing competition | NÃO ENCONTRADA
IFBs or notices of their availability may be sent electronically to vendors on agency-specific bidders lists, in addition to the appropriate citywide bidders list maintained by the CCPO, only with approval of the CCPO. | NÃO ENCONTRADA
Such IFBs or notices must be sent electronically at least fifteen (15) days in advance of the due date for bids, or at least twenty-two (22) days in advance of the due date for bids which are subject to Section 6-129 of the New York City Administrative Code (M/WBE and EBE program) | ENCONTRADA
An agency may, upon request of a vendor, provide IFBs or notices by mail, fax, hand delivery, or otherwise | ENCONTRADA
Where the notice does not include all IFB documents, an additional five (5) days must be allowed | ENCONTRADA
Notices of availability must indicate, at minimum: (A) the name of the agency and, if appropriate, the specific division or bureau soliciting the bids; (B) title and brief description of the goods, services, or construction required; (C) specific information about how, when, and where the IFB is available; (D) the required fee or deposit amount, if any, for obtaining the IFB; (E) the time, date, and location of any pre-bid conference or site visit, if any, and if attendance is mandatory; (F) the date, time, and location and, if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website, for the receipt and opening of bids; (G) the name and phone number of the agency contact person, including email address, if applicable; and (H) the citywide bidders list used | NÃO ENCONTRADA
Notice of solicitation shall be published at lease once in the City Record and shall be posted on the City’s website in a location that is accessible by the public simultaneously with its publication not less than fifteen days before the bid opening date with the exception of accelerated procurements, which shall appear not less than three business days before the bid opening date | NÃO ENCONTRADA
Such notice shall include: ((a)) agency name; ((b)) PIN; ((c)) title and/or brief description of the goods, services, or construction to be procured; ((d)) estimated quantity, if any; ((e)) how the solicitation documents may be obtained; ((f)) date and time by which, and the location where, bids must be submitted and will be publicly opened and if applicable, a link to access the livestreaming of the opening, reading, and identification of bids on a publicly accessible website; and ((g)) required vendor qualifications or eligibility requirements, if any and ((h)) A statement, if applicable, that the solicitation is subject to Section 6-129 of the Administrative Code (M/WBE and EBE program) | NÃO ENCONTRADA
Notice of vendor selection exceeding the small purchase limits shall be published once in the City Record within fifteen days after registration of the contract | NÃO ENCONTRADA
Such notice shall include: (A) agency name; (B) PIN; (C) title and/or brief description of the goods, services, or construction procured; (D) name and address of the vendor; (E) dollar value of the contract; and (F) procurement method by which the contract was let | NÃO ENCONTRADA
A copy of the IFB shall be available for public inspection at a location in the agency offices designated by the ACCO | ENCONTRADA
The CCPO shall compile citywide lists of vendors interested in being solicited for bids | ENCONTRADA
the CCPO may authorize one or more agencies to maintain citywide or agency bidders lists | ENCONTRADA
Bidders lists shall be classified by standard categories of goods, services, and construction that are sufficiently detailed to provide meaningful distinctions among categories | ENCONTRADA
Bidders lists shall include the names, addresses, EIN, e-mail addresses, and telephone numbers of the vendors | ENCONTRADA
bidders lists shall indicate which of the listed businesses have been certified by DSBS as minority owned, women owned and emerging business enterprises | ENCONTRADA
The CCPO and agencies, if authorized by the CCPO to maintain bidders lists, shall cause to be continuously published in the City Record notice of the availability of applications for vendors to be added to citywide bidders lists or agency bidders lists for goods, services, and construction regularly procured by the City | NÃO ENCONTRADA
Every effort shall be made to publish notice in a manner that encourages minority, women and emerging business enterprises to certify with DSBS | NÃO ENCONTRADA
Application by vendors for placement on the citywide bidders lists or an agency’s bidders list shall be continuously available on request from the vendor | NÃO ENCONTRADA
Vendors that fail to respond to solicitations or notices of availability of procurement opportunities on three consecutive invitations within one standard category may be removed by the CCPO from the applicable bidders list or by the ACCO from the applicable agency bidder list after notice to the vendor | NÃO ENCONTRADA
A “No Bid” statement on a returned bid shall be considered a response | NÃO ENCONTRADA
Vendors may also be removed from a citywide bidders list pursuant to procedures prescribed by the CCPO | NÃO ENCONTRADA
Application for reinstatement shall be the responsibility of the vendor | ENCONTRADA
Unless otherwise provided, inclusion or exclusion of the name of a vendor on a bidders list does not indicate that the vendor is responsible in respect to a particular procurement or otherwise is capable of successfully performing a City contract | NÃO ENCONTRADA
In accordance with these Rules, bids may be solicited from a list of prequalified vendors | ENCONTRADA
Pre-bid or pre-solicitation conferences may be conducted by the ACCO to explain the procurement requirements | NÃO ENCONTRADA
Written notice of any conference shall be provided to all prospective vendors | NÃO ENCONTRADA
A pre-bid conference should be held long enough after the IFB has been issued to allow bidders to become familiar with the solicitation documents, but sufficiently before bid opening to allow consideration of the conference results in preparing their bids | ENCONTRADA
Nothing stated at the pre-bid conference shall change the IFB unless a change is made by amendment as provided in this section | ENCONTRADA
A summary or transcript of the conference shall be prepared and shall be made available and shall be posted on the City’s website | NÃO ENCONTRADA
A record of attendance shall be kept of all conferences, and shall be made available and shall be posted on the City’s website | NÃO ENCONTRADA
The ACCO shall authorize the issuance of any amendment | ENCONTRADA
Each amendment to an IFB shall be identified as such, shall be set forth in writing, and shall require that the bidder acknowledge receipt of all amendments issued as a condition for consideration of its bid | ENCONTRADA
The amendment shall reference the portion of the IFB it amends | ENCONTRADA
Amendments shall be sent to all prospective vendors known to have received an IFB | ENCONTRADA
Amendments shall be distributed within a reasonable time to allow prospective vendors to consider them in preparing their bids | NÃO ENCONTRADA
If the time and date set for receipt of bids will not permit such preparation, such time shall be increased to the extent possible, and stated in the amendment or shall be communicated by electronic mail, facsimile, or telephone and confirmed in the amendment | NÃO ENCONTRADA
A notice of amendment shall be posted on the City’s website | NÃO ENCONTRADA
Bids may be modified or withdrawn by written notice received in the office designated in the IFB before the time and date set for bid opening | ENCONTRADA
If a bid is withdrawn in accordance with this section, the bid security, if any, shall be returned to the bidder | ENCONTRADA
Any bid received at the location designated in the solicitation after the time and date set for receipt of bids is late and shall not be considered | NÃO ENCONTRADA
Any request for withdrawal or modification received at the location designated in the solicitation after the time and date set for receipt of bids is late and shall not be considered | NÃO ENCONTRADA
Late bids and modifications shall not be opened until after registration of the contract | ENCONTRADA
A late modification of a successful bid that makes its terms more favorable to the City shall be considered at any time it is received and may be accepted upon the approval of the ACCO | NÃO ENCONTRADA
Upon its receipt, each bid and modification shall be time- and date-stamped, but not opened, and stored in a secure location until the time and date set for bid opening | NÃO ENCONTRADA
Before bid opening the agency may not disclose the identity of any bidder | ENCONTRADA
Bids and modifications will be opened publicly, at the time, date, and location designated in the IFB | ENCONTRADA
The name of each bidder, the bid price, and such other information as is deemed appropriate will be read aloud or otherwise made available | ENCONTRADA
These requirements may be met through access to a computer terminal at the location where bids are to be opened, provided that paper documents are available upon request at the time of in-person bid opening | ENCONTRADA
This information also will be recorded at the time of bid opening | ENCONTRADA
The bids will be tabulated or a bid abstract prepared and made available for public inspection | ENCONTRADA
The opened bids will be available for public inspection within five days of bid opening but in any case before vendor selection except to the extent the bidder designates trade secrets or other proprietary data to be confidential | ENCONTRADA
Material so designated must accompany the bid and must be readily separable from the bid in order to facilitate public inspection of the nonconfidential portion of the bid | ENCONTRADA
Prices, makes, and model or catalog numbers of the items offered, deliveries, and terms of payment will be publicly available at a reasonable time after bid opening but in any event before vendor selection regardless of any designation to the contrary at the time of bid opening | NÃO ENCONTRADA
For bids on construction contracts submitted in accordance with Section 3-02(b)(2)(xx)(J) of these Rules, the sealed list of subcontractors submitted with the low bid will be opened after such low bid has been announced and the names of the subcontractors shall be announced | ENCONTRADA
The sealed lists of subcontractors submitted by all other bidders pursuant to Section 3-02(b)(2)(xx)(J) of these Rules will be returned to such bidders unopened after the contract award | ENCONTRADA
The ACCO shall examine the bids to determine the validity of any requests for nondisclosure of trade secrets and other proprietary data identified in writing | ENCONTRADA
Nondisclosure is permissible only if approved by Agency Counsel | ENCONTRADA
Any decision not to honor a request for confidentiality shall be communicated in writing to the bidder making the submission | ENCONTRADA
Correction or withdrawal of a bid because of an inadvertent, nonjudgmental mistake in the bid requires careful consideration to protect the integrity of the competitive bidding system, and to assure fairness | NÃO ENCONTRADA
If the mistake is attributable to an error in judgment, the bid may not be corrected | ENCONTRADA
Bid correction or withdrawal by reason of a non-judgmental mistake is permissible, but only to the extent that it is not contrary to the interest of the City or the fair treatment of other bidders | ENCONTRADA
A bidder may correct mistakes discovered before the time and date set for bid opening by withdrawing or correcting the bid as provided in Section 3-02(j) of these Rules | ENCONTRADA
When the Contracting Officer knows or has reason to conclude after bids have been publicly opened that a mistake has been made, such officer shall request from the bidder written verification of the bid | NÃO ENCONTRADA
If the bidder alleges mistake, the bid may be corrected or withdrawn upon approval of the ACCO if the following conditions are met | ENCONTRADA
Minor informalities are matters of form, rather than substance, evident from the bid document or insignificant mistakes that can be waived or corrected without prejudice to other bidders; that is, the effect on price, quantity, quality, delivery, or contractual conditions is negligible | ENCONTRADA
The Contracting Officer may waive such informalities or allow the bidder to correct them depending on which is in the best interest of the City | ENCONTRADA
If the mistake and the intended correct bid are clearly evident on the face of the bid document, the bid shall be corrected to the intended correct bid and may not be withdrawn | ENCONTRADA
Mistakes may not be corrected after bid opening | ENCONTRADA
A bidder may be permitted to withdraw a bid where a unilateral error or mistake has been discovered in the bid and the Contracting Officer makes the following determination, which shall be approved by the ACCO | ENCONTRADA
Upon the approval of the ACCO, the bid may be withdrawn, and the bid bond or other security returned to the bidder | ENCONTRADA
If the bid was the low bid or the bid that represents best value, then the contract shall either be awarded to the next lowest bidder or bidder that represents the next best value to the City, as appropriate, or resolicited pursuant to these Rules | NÃO ENCONTRADA
Under no circumstances shall a bid be amended or revised to rectify the error or mistake | ENCONTRADA
Mistakes shall not be corrected after vendor selection except where the ACCO, subject to the approval of the CCPO, makes a determination that it would be unconscionable not to allow the mistake to be corrected | ENCONTRADA
When a bid is corrected or withdrawn, or correction or withdrawal is denied, the ACCO shall prepare a determination showing that the relief was granted or denied in accordance with these Rules | ENCONTRADA
Except as provided for in Section 3-02(j) of these Rules a bidder may not withdraw its bid before the expiration of forty-five days after the date of the opening of bids; thereafter, a bidder may withdraw its bid only in writing and in advance of an actual award | ENCONTRADA
The responsible bidder whose bid meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and whose bid price is the lowest responsive and responsible bid price or, if the IFB has so stated, the lowest responsive and responsible evaluated bid price, shall be selected for the contract | ENCONTRADA
A bid shall not be evaluated for any requirement or criterion that is not disclosed in the IFB | ENCONTRADA
Prior to the bid, the ACCO will determine whether the goods or standard services will be awarded to the lowest responsive and responsible bidder or to the responsive and responsible bidder whose bid represents the best value to the City | NÃO ENCONTRADA
The responsive and responsible bidder whose bid meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and whose bid price is the lowest, or whose bid represents the best value to the City by optimizing quality, cost and efficiency, will be selected for the contract | NÃO ENCONTRADA
If award will be made based on best value, best value may be determined by the ACCO, or the ACCO may convene a committee to make such determination | NÃO ENCONTRADA
Any such committee must consist of persons with knowledge, expertise and experience sufficient to make a fair and reasonable determination | ENCONTRADA
As set forth below the ACCO, or the committee as the case may be, may determine best value by consideration of price together with other factors deemed relevant by the ACCO and set forth in the IFB | NÃO ENCONTRADA
In making such determination the ACCO, or committee, must consider the low responsive bid and the next low responsive bids that are within ten percent (10%) of the low responsive bid in price, including any bids that have been adjusted pursuant to subparagraph (iv) of this paragraph, or such higher percentage as approved by the CCPO either on an individual basis or by category or class | NÃO ENCONTRADA
The ACCO, or committee, may consider any and all information related to such factors in determining best value and may require additional information to be submitted by the bidders with the bid, or alternatively, within up to thirty (30) days from the bid opening from all bidders whose bids are to be considered pursuant to in Section 3-02(o)(1)(iii) of these Rules | NÃO ENCONTRADA
If a committee is used to evaluate the bids, then written evaluation forms shall be completed to record the evaluation of the bids and shall be signed and dated by all members of the committee | ENCONTRADA
If award will be made based on best value, a vendor that is an M/WBE or State-certified M/WBE must, except with the approval of the CCPO, be given a price preference of 10% and will be evaluated as if the bid price were 10% lower | ENCONTRADA
A price preference of a different percentage may be given with approval from the CCPO | ENCONTRADA
The price preference percentage, if any, shall be included in the IFB | ENCONTRADA
Upon determination of the apparent lowest responsive and responsible bidder or responsive and responsible bidder providing best value, pursuant to Section 3-02(0)(1) of these Rules, and prior to award, the Contracting Officer may elect to open negotiations with the selected vendor in an effort to improve the bid to the City with respect to the price only if award will be made to the lowest responsive and responsible bidder, or if award will be made to the responsive and responsible bidder whose bid represents the best value to the City, with respect to any of the factors considered in determining best value | NÃO ENCONTRADA
In the event the apparent winning bidder declines to negotiate, the Contracting Officer may elect to either award the contract to the apparent winning bidder or may, upon written approval by the ACCO, reject all bids in accordance with this section | NÃO ENCONTRADA
The result of negotiations, if any, shall be documented in the Recommendation for Award | ENCONTRADA
Upon the determination of the apparent winning bidder pursuant to Section 3-02(o)(1) of these Rules, a Recommendation for Award shall be approved by the ACCO and the contract shall be awarded to that bidder | ENCONTRADA
Where the award is based on best value to the City, the ACCO shall set forth in the Recommendation for Award the reasons that the bid represents the best value to the City and the factors considered by the agency | ENCONTRADA
In the case of low tie bids, the ACCO shall break the tie in the following order of priority. (i) Select a certified New York City minority owned, woman-owned or emerging business entity bidder; (ii) Select a New York City bidder; (iii) Select a certified New York State small, minority or woman-owned business bidder; (iv) Select a New York State bidder; (v) Conduct a drawing. Tie bidders shall be invited to witness the drawing | NÃO ENCONTRADA
A witness shall be present to verify the drawing and shall certify the results on the bid tabulation sheet | ENCONTRADA
A record shall be made of tie bids received, and the method used to break the tie | ENCONTRADA
The ACCO shall monitor the incidence of low tie bids in a systematic manner | ENCONTRADA
When a single bid has been received in response to an IFB, a vendor may be selected only after the ACCO has determined that a sufficient number of other potentially responsive vendors have had a reasonable opportunity to bid; why, as a result of inquiries made by the agency, other vendors chose not to submit bids; that the bid submitted meets minimum requirements of the IFB; that the price is fair and reasonable, and that resolicitation is not in the best interest of the City | NÃO ENCONTRADA
Unless alternate bids are requested in the solicitation, such bids may not be accepted | ENCONTRADA
If the ACCO determines that a bidder is either not responsible or not responsive, such bidder shall immediately be notified in writing of such determination and the reasons therefor, and the right to appeal the determination, if applicable | NÃO ENCONTRADA
A copy of the notification shall be filed with the CCPO and Comptroller | ENCONTRADA
Multiple award task order contracts for standard services or multiple award purchase order contracts for goods may be awarded upon a determination by the ACCO that it is in the best interest of the City to award multiple contracts for goods or standard services to multiple contractors and to allocate work among such contractors through a task order or purchase order system | NÃO ENCONTRADA
The criteria to be considered by the ACCO in making such determination may include the following: the nature of the goods or standard services to be procured; the expected frequency of task order or purchase order issuance; the capacity of vendors to provide all of the required services within the required timeframes; and the potential advantage of multiple contracts (e.g., more favorable terms; more competitive pricing, etc.) | NÃO ENCONTRADA
Multiple awards may be made for contracts for goods or standard services, pursuant to competitive sealed bids where award is made based on price only, or based on best value pursuant to the criteria set forth in Section 3-02(o)(1) of these Rules, in conjunction with the procedures prescribed in this subdivision. | NÃO ENCONTRADA
The IFB shall also state the procedures and criteria to be used in selecting the vendor to perform on an individual task order or goods to be purchased pursuant to an individual purchase order | ENCONTRADA
The agency may: (A) select the vendor that represents the best value to the City for that particular task order or purchase order, as determined pursuant to Section 3-02(o) of these Rules, based on each vendor’s bid | NÃO ENCONTRADA
the agency may solicit offers for each task order or purchase order from all awarded vendors | ENCONTRADA
If the agency solicits offers for each task order or purchase order, each vendor shall receive each solicitation and have a reasonable opportunity to compete to provide the standard services or goods | ENCONTRADA
The agency may set forth an alternative method of assigning task orders or purchase orders if it is determined by the CCPO to be in the City’s best interest and is set forth in the IFB | NÃO ENCONTRADA
In the event that such alternative method is used for standard services, each vendor with a contract shall receive notice of assignment of each task order at the time each task order is issued, regardless of whether each vendor with a contract received the solicitation for the task order | ENCONTRADA
rotation, or other non-discretionary method of assignment, including where assignment pursuant to such method may be varied based on stated criteria | ENCONTRADA
In the event that a vendor selected pursuant to one of the selection methods in paragraphs (i) or (ii) above is unable to perform the services on an individual task order or provide the goods to be purchased pursuant to an individual purchase order for reasons such as lack of capacity or conflict of interest, the agency may disqualify that vendor for purposes of that task order and select another vendor with approval of the CCPO | NÃO ENCONTRADA
Price shall be the primary factor considered in making individual vendor selection decisions, and no task order shall be issued unless the ACCO determines that the proposed price is fair and reasonable | NÃO ENCONTRADA
Prices set forth in a multiple award contract shall represent maximum prices that may be set forth in individual task orders issued to that vendor | ENCONTRADA
Unless otherwise approved by the CCPO, contracts awarded pursuant to this subdivision shall have a total term including all renewals, of not more than five years, provided that any such contract may be extended for an additional period of one year beyond the date of expiration of such contract in accordance with § 4-02(b)(1)(iii) of these Rules | ENCONTRADA
Task orders, or purchase orders may extend beyond the expiration of the contract term, in which event the terms and conditions of the contract shall continue to apply to the task order or purchase order until its termination or expiration | ENCONTRADA
Task orders, or purchase orders, shall have a maximum term of three years or, if issued for a specific project, until the specific project is completed | ENCONTRADA
Notwithstanding the above, a task order may be extended beyond, or further extended beyond, the expiration of the contract term or beyond the expiration of the task order with the CCPO’s approval, which must be obtained in a manner prescribed by the CCPO | NÃO ENCONTRADA
The ACCO may reject all bids and may elect to resolicit by bid in accordance with this section or by other method authorized by these Rules | ENCONTRADA
Under the circumstances set forth in this subdivision, the ACCO may determine that it is appropriate to reject all bids after opening and before vendor selection and to complete the acquisition by a new solicitation for which notice is provided as set forth in this subdivision | ENCONTRADA
This procedure may be used where at least five responses to the solicitation have been received, and despite efforts to address problems in the solicitation by means of prebid conferences and issuance of amended specifications in accordance with these Rules, all responses are found to be non-responsive as a result of the same defect(s) in the specification or other solicitation documents | NÃO ENCONTRADA
When using this procedure, the ACCO shall: (i) make a determination that: (A) five or more bids have been received in response to the original solicitation; (B) all of the bids have been found to be non-responsive as a result of the same previously unresolved defect(s) in the solicitation documents; and (C) prior to opening the bids the agency had made diligent efforts to discover and correct defects in the solicitation documents by inviting questions from prospective bidders, holding pre-bid conferences, and issuing amendments to the solicitation documents as appropriate; | NÃO ENCONTRADA
All bids shall be retained | ENCONTRADA
When bids are rejected or a solicitation canceled after bids are received, the bids shall be retained and the bid security, if any, shall be promptly returned, and the file so documented | ENCONTRADA
