Regra | Status
O Ministério da Educação não se responsabilizará por inscrição via internet não recebida por quaisquer motivos de ordem técnica de computadores, falhas de comunicação, congestionamentos das linhas de comunicação, por procedimento indevido, bem como por outros fatores que impossibilitem a transferência de dados, sendo de responsabilidade exclusiva do estudante acompanhar a situação de sua inscrição. | NÃO ENCONTRADA
Encerrado o período de inscrição, o estudante será classificado na ordem decrescente das notas na opção de vaga para a qual se inscreveu, observado o limite de vagas disponíveis na instituição, por local de oferta, curso e turno bem como a modalidade de concorrência. | NÃO ENCONTRADA
A nota final do estudante poderá variar de acordo com a ponderação dos pesos eventualmente estabelecidos pela instituição para cada uma das provas do Enem, na forma prevista no inciso IV do art. 5º desta Portaria. | NÃO ENCONTRADA
A nota final do estudante poderá variar de acordo com os bônus eventualmente estabelecidos pelas instituições em suas políticas de ações afirmativas, na forma prevista no inciso III do art. 5º desta Portaria. | NÃO ENCONTRADA
Os estudantes que optarem por concorrer às vagas reservadas em decorrência do disposto na Lei nº 12.711, de 2012, e regulamentação em vigor, serão classificados dentro de cada um dos seguintes grupos e subgrupos de inscritos. | NÃO ENCONTRADA
Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que não se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escola pública, com renda familiar bruta igual ou inferior a 1,5 salário-mínimo per capita, que não se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escolas públicas, independentemente de renda, que se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escolas públicas, independentemente de renda, que se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escolas públicas, independentemente de renda, que não se autodeclararam pretos, pardos e indígenas, que sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
Estudantes egressos de escolas públicas, independentemente de renda, que não se autodeclararam pretos, pardos e indígenas, que não sejam pessoas com deficiência, serão classificados em grupo específico. | NÃO ENCONTRADA
A cada chamada regular do SiSU, serão selecionados os estudantes classificados, consoante o disposto nos arts. 19 e 20 desta Portaria, observando-se a ordem de preferência das opções efetuadas. | NÃO ENCONTRADA
O estudante será selecionado em apenas uma de suas opções. | NÃO ENCONTRADA
O estudante será selecionado exclusivamente em sua 1ª opção, caso tenha obtido nota suficiente para classificação nessa opção. | NÃO ENCONTRADA
O estudante será selecionado em sua 2ª opção, caso possua nota suficiente para tal, desde que não tenha sido selecionado em sua 1ª opção. | NÃO ENCONTRADA
O estudante poderá consultar o resultado das chamadas no sítio eletrônico do SiSU na internet e nas instituições para as quais efetuou sua inscrição. | NÃO ENCONTRADA
A seleção do estudante assegura apenas a expectativa de direito à vaga para a qual se inscreveu, estando sua matrícula condicionada à comprovação de atendimento dos requisitos legais e regulamentares pertinentes, em especial aqueles previstos na Lei nº 12.711, de 2012, e regulamentação em vigor. | ENCONTRADA
